process,decay,lever,mean_bias_%,exogenous_share
white_noise,0.0,unphased,62.60791902056145,0.29020673001087505
white_noise,0.0,+/-20%,57.01816506600928,0.402335780013906
white_noise,0.0,+/-40%,46.6455733637761,0.5946639951057041
white_noise,0.0,+/-80%,26.202531627352403,0.831156216383218
white_noise,0.0,Blackout,15.856770866487702,0.894373534500728
white_noise,0.3,unphased,80.43545524485937,0.3549573691237164
white_noise,0.3,+/-20%,73.9804850164865,0.4425096983879928
white_noise,0.3,+/-40%,61.65948823405421,0.6024944555986093
white_noise,0.3,+/-80%,36.27449403203524,0.8233833172611424
white_noise,0.3,Blackout,23.362344591960763,0.8837667541614582
white_noise,0.5,unphased,91.44243376828807,0.47223577218958945
white_noise,0.5,+/-20%,85.05425482694942,0.5322076338462182
white_noise,0.5,+/-40%,72.38433156293776,0.6492143048840773
white_noise,0.5,+/-80%,45.036077841209874,0.8307705915188096
white_noise,0.5,Blackout,30.564278045239764,0.8842517291358772
white_noise,0.7,unphased,99.40456154658439,0.6531303240487811
white_noise,0.7,+/-20%,94.62141256806554,0.682869018997217
white_noise,0.7,+/-40%,83.39557849361016,0.7472084037198908
white_noise,0.7,+/-80%,56.43487392987337,0.8632143143160027
white_noise,0.7,Blackout,39.474523194855045,0.9035338416591733
ar1,0.0,unphased,62.11530131493266,0.2858814185311177
ar1,0.0,+/-20%,56.583410960247114,0.3985966847538147
ar1,0.0,+/-40%,46.63765838100206,0.5913855464603913
ar1,0.0,+/-80%,26.912097446123425,0.8310783672340204
ar1,0.0,Blackout,16.638387988514243,0.8937746250740766
ar1,0.3,unphased,69.6521788236111,0.23693426899053782
ar1,0.3,+/-20%,64.82179733315333,0.3149790980613257
ar1,0.3,+/-40%,56.845209303403244,0.473607084236354
ar1,0.3,+/-80%,38.464117241087706,0.7388981256633812
ar1,0.3,Blackout,26.833842405350747,0.8284614434821514
ar1,0.5,unphased,74.88913808565881,0.26445570143419544
ar1,0.5,+/-20%,70.21296481703176,0.3147047820636868
ar1,0.5,+/-40%,63.34853531273739,0.4285348635147337
ar1,0.5,+/-80%,47.66007121200132,0.6682202010593689
ar1,0.5,Blackout,36.45796072187133,0.7711004166999759
ar1,0.7,unphased,83.28503945287189,0.3808196184945477
ar1,0.7,+/-20%,78.14938192609836,0.405649376171165
ar1,0.7,+/-40%,70.92903435070187,0.4684431367443904
ar1,0.7,+/-80%,58.03405316249058,0.6356349452405975
ar1,0.7,Blackout,47.2716405341021,0.7372117536159379
seasonal_ar1,0.0,unphased,62.08903427187712,0.28963718211578515
seasonal_ar1,0.0,+/-20%,56.66423928091779,0.4034337704668632
seasonal_ar1,0.0,+/-40%,46.54785456473817,0.595388173749963
seasonal_ar1,0.0,+/-80%,26.77748146181322,0.8317466344493528
seasonal_ar1,0.0,Blackout,17.08764413472949,0.8942395638826307
seasonal_ar1,0.3,unphased,65.72987358132998,0.1878903936019339
seasonal_ar1,0.3,+/-20%,62.16843919512141,0.26374617337846024
seasonal_ar1,0.3,+/-40%,55.499548303644666,0.4222398717674027
seasonal_ar1,0.3,+/-80%,38.91470920414525,0.7009961473312091
seasonal_ar1,0.3,Blackout,28.122621629405746,0.8020019483683027
seasonal_ar1,0.5,unphased,67.13092104312817,0.14600002725762043
seasonal_ar1,0.5,+/-20%,64.56886498379323,0.19371926608957635
seasonal_ar1,0.5,+/-40%,60.12895601604662,0.3071130889901092
seasonal_ar1,0.5,+/-80%,48.03501060037402,0.5690324639756563
seasonal_ar1,0.5,Blackout,38.37562906944049,0.6965750185934546
seasonal_ar1,0.7,unphased,67.2187337978897,0.15164757179971894
seasonal_ar1,0.7,+/-20%,65.57687553365365,0.17518331830013764
seasonal_ar1,0.7,+/-40%,63.06187420251743,0.2386397750087206
seasonal_ar1,0.7,+/-80%,56.679610054635305,0.43094608387996897
seasonal_ar1,0.7,Blackout,48.80992314119418,0.5723789010750653
trend,0.0,unphased,62.90715166508954,0.2908306117317176
trend,0.0,+/-20%,57.66245897765676,0.40165680490239214
trend,0.0,+/-40%,47.72530002215688,0.591999125110014
trend,0.0,+/-80%,27.943811895551075,0.8291750815117155
trend,0.0,Blackout,17.10612253179314,0.8987137422118631
trend,0.3,unphased,67.09686266657259,0.19390753492868468
trend,0.3,+/-20%,63.59878390633768,0.2680136565971619
trend,0.3,+/-40%,57.05297970548972,0.4250322953449725
trend,0.3,+/-80%,40.3100627709137,0.7034720976413574
trend,0.3,Blackout,28.724375108169003,0.8081160350739377
trend,0.5,unphased,69.00986720473931,0.15871517871480506
trend,0.5,+/-20%,66.27558368039985,0.2052447453522983
trend,0.5,+/-40%,61.91915919604798,0.3165583311195397
trend,0.5,+/-80%,49.646322990903684,0.5758660746340413
trend,0.5,Blackout,39.7119216994628,0.6991788848128299
trend,0.7,unphased,70.52724546477683,0.1714918206031579
trend,0.7,+/-20%,68.02337891714252,0.1939973191640181
trend,0.7,+/-40%,65.20350475996857,0.25354449369433146
trend,0.7,+/-80%,58.15176438958232,0.4362704153542589
trend,0.7,Blackout,51.01876618114179,0.552542133375967
