demand_share,correlation,lever,pairwise_corr,corr_tv_demand,tv_bias_%,meta_bias_%,search_bias_%,mean_bias_%,mean_cv_%,n_clients,bias_sd_across_clients_%,bias_se_%,typical_abs_bias_%,mean_lambda,lambda_spread,budget_x_b0.4,budget_x_b0.6,budget_x_b0.8,lambda_p10,lambda_p90,budget_x_b0.4_p10,budget_x_b0.4_p90,budget_x_b0.6_p10,budget_x_b0.6_p90,budget_x_b0.8_p10,budget_x_b0.8_p90
0.0,0.4,unphased,0.3927294131959773,0.004925298555340528,-2.296715488640083,4.990467201821319,-1.5174128581888484,0.39211295166412935,21.8312408592749,32,8.458685581657555,1.4952984836787333,7.2559108652047,1.0039211295166413,0.07287182690461402,1.0065437539536897,1.009831671228783,1.0197600042167168,0.9035933867540793,1.1042357371777043,0.8445432463298661,1.1796978176813224,0.7761276013911811,1.281321882218382,0.602376460803781,1.6418326223100101
0.0,0.4,+/-20%,0.3927294131959774,0.004925298555340518,-2.0184544436708025,4.04040926024669,-0.5919545997870136,0.4766667389296247,19.254902811735885,32,7.714593184136484,1.3637602886496067,6.637179618176298,1.0047666673892963,0.06058863703917494,1.0079570618173266,1.0119593043943578,1.0240616337503123,0.9133819891434393,1.0920461077054606,0.8598465096332327,1.158070415463947,0.7973183550330006,1.2462422374364739,0.6357197564954502,1.5531200482024918
0.0,0.4,+/-40%,0.3927294131959774,0.004925298555340518,-1.072250528316468,2.847824687730276,0.15227857078218965,0.6426175767319992,15.486909896633724,32,6.459340160471565,1.1418608073650114,5.708993036269188,1.00642617576732,0.03920075216046748,1.010733218674424,1.0161429517841905,1.0325464984606878,0.9256703912238057,1.0778384534561236,0.8792161845194761,1.133068599817345,0.824416636229178,1.2061031713003403,0.6796934173559862,1.454687927524439
0.0,0.4,+/-80%,0.3927294131959774,0.004925298555340518,0.05597478613444634,1.560357189552212,0.6911273743551698,0.7691531166806094,10.24834988154821,32,4.070029959469824,0.7194864459933804,3.5961917040285334,1.007691531166806,0.0150438240341777,1.0128520570680937,1.0193398943238798,1.0390538201602186,0.9570334396256992,1.0533349943008263,0.92942111746266,1.090462816247767,0.8960249118630508,1.1387183103497454,0.8028749168609404,1.29667961175044
0.0,0.4,Blackout,0.3927294131959774,0.004925298555340518,-0.3100663489991571,1.0351614572900094,0.42301628102872585,0.3827037964398594,8.233760735988113,32,2.994444459906692,0.5293479958716276,2.4683690056622734,1.0038270379643988,0.013452278062891732,1.0063865299404156,1.0095950740804784,1.0192822136075668,0.9692181361058166,1.0473040013257744,0.9492251170487557,1.0800767818381747,0.9248128049225874,1.122488740389066,0.8552787509753879,1.2599818060664245
0.0,0.4,TV alone +/-80%,0.3927294131959774,0.004925298555340518,-0.5852746201068292,4.492732784053729,-1.3792904999602407,0.8427225546622198,15.460081069058319,32,6.872253324369747,1.2148542319234106,5.033536049061123,1.0084272255466222,0.05872023284013972,1.0140847935877364,1.0212014096913762,1.042852319155654,0.9367258417343213,1.0811797688400968,0.8967939347767532,1.1389286729294577,0.849275758624156,1.215471574924,0.7213676470404736,1.4773714954012944
0.25,0.4,unphased,0.3938002712408064,0.3159657661912812,29.707426255482243,22.562436199555428,15.817729346289422,22.695863933775698,16.615946185718872,32,8.278744423678635,1.4634890804233696,22.695863933775698,1.226958639337757,0.13889696909192817,1.4062089948331968,1.6675344211669845,2.7806710457767103,1.1110436959692096,1.3277558661298152,1.1918622901785723,1.6040004019610958,1.3012277315479144,2.031517308798282,1.6935310887793802,4.127837520782929
0.25,0.4,+/-20%,0.3938002712408064,0.3159657661912812,27.92161347806219,20.597312992577294,15.964810718043086,21.49457906289419,15.282288985391745,32,7.488611526410996,1.3238119979992393,21.49457906289419,1.214945790628942,0.11956802760019114,1.3833375563939656,1.6270176031617778,2.6471862809982962,1.1221023319330479,1.3012528340044793,1.2116827400701313,1.5509715540911961,1.333786037083998,1.9315575561431848,1.7790541259839154,3.7310121754274186
0.25,0.4,+/-40%,0.3938002712408064,0.3159657661912812,24.315174029405867,17.10970802513107,14.540831232513373,18.6552377623501,12.846376365184327,32,6.129614803277261,1.083573048364699,18.6552377623501,1.1865523776235012,0.09774342796892488,1.329877147425282,1.5336183092477682,2.351985118459983,1.1068818822743032,1.255805891095584,1.1844205624597581,1.461744367722697,1.289039078271712,1.7672915806021974,1.6617884179557947,3.1233652679897452
0.25,0.4,+/-80%,0.3938002712408064,0.3159657661912812,15.758455792586119,10.474011674171287,9.38041666748771,11.870961378081704,9.097982763027971,32,4.018775291211787,0.7104258151201992,11.870961378081704,1.118709613780817,0.06378039125098423,1.2055788409883068,1.3237117553239224,1.7522128111827397,1.068405254886419,1.17552073438187,1.1165938568721825,1.309338744479228,1.1799032034227932,1.4982382728850414,1.3922400056139301,2.244805900592052
0.25,0.4,Blackout,0.3938002712408064,0.3159657661912812,9.70642756425718,6.922292854348306,5.8673183416500265,7.498679586751837,7.608935968601236,32,2.886346574964965,0.5102388090030731,7.498679586751837,1.0749867958675183,0.03839109222607151,1.1280764936736356,1.198140709508066,1.4355411597804921,1.0509057594733366,1.1131788534560336,1.0862746353516741,1.1956621160431038,1.1321643954002374,1.3074139698474543,1.2817968335737215,1.709341120947541
0.25,0.4,TV alone +/-80%,0.3938002712408064,0.3159657661912812,8.512276063953092,26.649685468583144,19.448877119872893,18.203612884136376,13.004928892872313,32,5.596747826009274,0.9893745850905562,18.294451227268183,1.1820361288413637,0.18137409404630067,1.3214515708529595,1.51906681820471,2.3075639981705818,1.133773205668871,1.2296316424288594,1.2327563189910533,1.4113208267711723,1.368725428237131,1.6766404307520482,1.8734217496094605,2.811173713018405
0.5,0.4,unphased,0.39280555242551757,0.4452565038516849,43.141614831793284,29.834520884894715,23.181156180962418,32.052430632550134,15.150436884174079,32,8.27443013489848,1.4627264147102585,32.05243063255014,1.3205243063255014,0.1996045865083087,1.5894394906750977,2.003853644242838,4.015429427545303,1.2155670605801137,1.4090161093938274,1.3845167987339901,1.7709364360820428,1.6290986737535866,2.356798809099417,2.653964170590843,5.555859806794817
0.5,0.4,+/-20%,0.39280555242551757,0.44525650385168486,40.33218035623941,27.45043715734207,22.906694586444075,30.22977070000852,14.07541013184804,32,7.497120787770152,1.3253162371017264,30.229770700008515,1.3022977070000852,0.17425485769795346,1.5530441181447647,1.9354220727490512,3.745858599684235,1.205006498412525,1.3762492387670953,1.3645278604854683,1.702794189150503,1.5939466614625453,2.2219990832033387,2.540672055631512,4.937323170686708
0.5,0.4,+/-40%,0.39280555242551757,0.44525650385168486,34.78399107862569,22.962553713034282,20.454264697677996,26.06693649644599,12.038258473059647,32,6.1237064694046754,1.0825285926279942,26.066936496445983,1.2606693649644598,0.14329726380947694,1.4711896657262487,1.784444308231645,3.1842414891803146,1.187465726596605,1.3286666407500396,1.3315963616620619,1.6058087146629825,1.536620705170144,2.034892689524835,2.3614601348614404,4.140833606063762
0.5,0.4,+/-80%,0.39280555242551757,0.44525650385168486,22.189614739209933,14.088991659986245,12.85509660631377,16.37790100183665,8.706552680608663,32,4.0343288481978234,0.7131753215242986,16.377901001836648,1.1637790100183665,0.09334518132896164,1.287609582103955,1.461087751176041,2.134777416636661,1.1143948793553136,1.2181598099151045,1.1978397656565043,1.3894425777730037,1.310987318968957,1.63780126085729,1.7186972964685965,2.682403926709923
0.5,0.4,Blackout,0.39280555242551757,0.44525650385168486,13.823216283493688,9.318443925180379,8.100079193758722,10.413913134144265,7.3771392199554,32,2.914837225253638,0.5152752920079569,10.413913134144263,1.1041391313414426,0.057231370897349754,1.1795227896559521,1.2810306019004192,1.6410394030053503,1.0813070140673182,1.1372591945554547,1.1391522132203402,1.2390792810610298,1.2158296953678034,1.3792679470623315,1.4782440766091811,1.9023800978839445
0.5,0.4,TV alone +/-80%,0.39280555242551757,0.44525650385168486,12.186882840269657,35.8884492605148,28.265910442863564,25.44708084788267,12.181904015873236,32,5.31439837217507,0.9394617817229354,25.44708084788267,1.2544708084788267,0.23701566420245146,1.4591533377284187,1.7625903957655173,3.106724903244843,1.1963859757924615,1.3037137482801235,1.348297639198177,1.555859707542433,1.5655939465581252,1.9406878979055486,2.4511004471884057,3.7662719464504772
0.75,0.4,unphased,0.39074109472289303,0.5454974769116304,53.83528302660087,35.61433771605145,28.875928199969312,39.44184964754054,14.186418892480484,32,7.598453812333769,1.3432295543084956,39.44184964754055,1.3944184964754054,0.24959354826631563,1.740424646688189,2.2960579091807687,5.2718819223115645,1.2939991428604323,1.4879416429668861,1.536610000401865,1.9393016814692454,1.9048409368896517,2.7006741506462,3.6290929669607705,7.294052964831485
0.75,0.4,+/-20%,0.39074109472289303,0.5454974769116304,50.09973229720786,32.85598359860265,28.21605225792215,37.05725605124422,13.278868214453388,32,6.954436487066449,1.2293822998339594,37.05725605124422,1.3705725605124421,0.21883680039285713,1.6911029792979184,2.199151160524508,4.836265826836291,1.278819298744822,1.4629985597878716,1.5066772416570224,1.8854642379971767,1.849437389393347,2.589103248899156,3.420863589035948,6.7054438265688745
0.75,0.4,+/-40%,0.39074109472289303,0.5454974769116304,42.92015811085717,27.532394322806603,24.926848127105416,31.7931335202564,11.492315122713087,32,5.799897072420108,1.0252866375230656,31.793133520256397,1.317931335202564,0.17993309983751749,1.5842412113140916,1.9940312481462854,3.976160618583834,1.2576002070594434,1.3836744825198672,1.465225263133965,1.7181337892175674,1.7736042385213322,2.2520927123825776,3.145677255233668,5.071977209572106
0.75,0.4,+/-80%,0.39074109472289303,0.5454974769116304,27.128361267334018,16.87665512818279,15.44992352529125,19.81831330693602,8.438875724451748,32,3.970254941937282,0.7018485481208137,19.81831330693602,1.1981831330693602,0.1167843774204278,1.3516741331546835,1.5714769100240484,2.4695396787387316,1.150697833405628,1.247807228689796,1.263578662477017,1.4462583210705773,1.4203770913026483,1.7392775237531626,2.0174776120454787,3.0250895890590592
0.75,0.4,Blackout,0.39074109472289303,0.5454974769116304,16.96189765462765,11.134804151110291,9.803196899675672,12.633299568471204,7.219701657642293,32,2.9487698417716652,0.5212737878187818,12.633299568471205,1.1263329956847121,0.07158700754951974,1.2193021645372841,1.3463780327523591,1.8127338070781125,1.096381610625572,1.1642012698880906,1.1657457906492168,1.2883893396630886,1.258657514272385,1.462417325718356,1.5842581242923959,2.138683264058153
