b_true,lam_true,lever,b_mean,b_sd,b_bias,lam_mean,lam_sd,lam_bias,valley_%
0.6,0.5,unphased,0.6310625000000001,0.3642017759343713,0.031062500000000104,0.49365000000000003,0.14972367047330895,-0.006349999999999967,17.93743890518084
0.6,0.5,+/-20%,0.6147291666666667,0.36416389622802015,0.014729166666666682,0.497475,0.1392250852935634,-0.0025249999999999995,15.791992505702183
0.6,0.5,+/-40%,0.6111979166666667,0.36065749044256157,0.011197916666666696,0.4972875000000001,0.11809113998835814,-0.0027124999999998956,12.812601824698596
0.6,0.5,+/-80%,0.59475,0.32993613649715103,-0.005249999999999977,0.4954,0.08633272844060935,-0.004599999999999993,8.376099706744867
0.6,0.5,Blackout,0.6233645833333332,0.2081820677411795,0.023364583333333244,0.509125,0.06363948754507691,0.00912500000000005,2.6586428804170734
0.8,0.3,unphased,0.6861875000000001,0.34352241898273544,-0.11381249999999998,0.32384999999999997,0.15162017510872358,0.023849999999999982,13.92350928641251
0.8,0.3,+/-20%,0.6748958333333334,0.344384247582027,-0.12510416666666668,0.31273749999999995,0.12948795733098117,0.012737499999999957,12.115102639296184
0.8,0.3,+/-40%,0.6760104166666666,0.33695213231975013,-0.12398958333333343,0.3036375,0.10268468042385875,0.0036375000000000157,9.677419354838708
0.8,0.3,+/-80%,0.7148541666666667,0.27609097908595076,-0.08514583333333337,0.298025,0.07629776782449142,-0.0019750000000000045,5.009775171065493
0.8,0.3,Blackout,0.7906458333333334,0.17857800461601894,-0.009354166666666663,0.31149999999999994,0.05860674022670089,0.011499999999999955,2.3124389051808403
